"id","bucket","measure","avg","min","max"
"bst2000-201383","2022-08-02 04:40:00","pusher_left_motor_heat",36.33,35,37
"bst2000-201383","2022-08-02 04:40:00","pusher_right_motor_heat",34.33,34,35
"bst2000-201383","2022-08-02 04:40:00","slave_shaft_drive_heat",51.17,49,53
"bst2000-201383","2022-08-02 04:40:00","slave_shaft_motor_heat",42.67,41,44
"bst2000-201383","2022-08-02 04:30:00","master_shaft_drive_heat",45.4,43,48
"bst2000-201383","2022-08-02 04:30:00","master_shaft_motor_heat",35.6,34,38
"bst2000-201383","2022-08-02 04:30:00","pusher_left_motor_heat",34.6,34,35
"bst2000-201383","2022-08-02 04:30:00","pusher_right_motor_heat",33.6,33,34
"bst2000-201383","2022-08-02 04:30:00","slave_shaft_drive_heat",45.0,42,48
"bst2000-201383","2022-08-02 04:30:00","slave_shaft_motor_heat",37.6,36,40
"bst2000-201383","2022-08-02 04:20:00","master_shaft_drive_heat",37.2,34,41
"bst2000-201383","2022-08-02 04:20:00","master_shaft_motor_heat",28.8,26,32
"bst2000-201383","2022-08-02 04:20:00","pusher_left_motor_heat",33.0,32,34
